Name of Primary Health Center,PHC LGA,State of PHC,Does the health care center have a well-built and Maintained structure ?,Any Dilapidated Hospital Building in the Premises of PHC ?
Anguwan Dampar Phcc,Ibi,Taraba State,No,Yes
First Referral Hospital Sunkani,Ardo-kola,Taraba State,No,Yes
Garin Jatau Phc,Ardo-kola,Taraba State,No,No
Primary Health Care Rafin Damisa Dispensary.,Ibi,Taraba State,No,Yes
Phcc Sarki Kudu Ibi Lga,Ibi,Taraba State,No,Yes
Primary Health Care Center  Mallum,Ardo-kola,Taraba State,No,Yes
Pamanga Primary Health Care Centers,Bali,Taraba State,Yes,Yes
Kankani Primary Health Clinic,Bali,Taraba State,No,No
Dankum Primary Health Care Center,Yorro,Taraba State,Yes,No
Kajong Primary Health Care Center,Yorro,Taraba State,Yes,Yes
Tunapo Primary Health Care Center,Zing,Taraba State,Yes,No
Borno-Kuru-Kuru,Bali,Taraba State,Yes,No
Laapo Primary Health Care Center,Zing,Taraba State,No,Yes
Lagos Buban Health Post,Donga,Taraba State,No,Yes
Wasabi Health Post,Donga,Taraba State,No,No
Pupule Primary Health Care Center,Yorro,Taraba State,Yes,No
Yitti Primary Health Centre,Lau,Taraba State,No,Yes
Abbare Primary Health Centre,Lau,Taraba State,Yes,Yes
Lankaviri Primary Health Care Center,Yorro,Taraba State,Yes,No
Phcc Zango Kombi,Ardo-kola,Taraba State,Yes,Yes
Lau Primary Health Care Centre,Lau,Taraba State,Yes,Yes
Jimlari Primary Health Care Centre,Lau,Taraba State,Yes,Yes
Fada Primary Health Clinic,Donga,Taraba State,Yes,No
Kente Primary Health Care Center,Wukari,Taraba State,Yes,No
Kakara Primary Health Center,Sardauna,Taraba State,Yes,Yes
Kusuku Primary Health Center,Sardauna,Taraba State,Yes,Yes
Warwar Primary Health Clinic,Sardauna,Taraba State,Yes,Yes
Costine Primary Health Center,Ussa,Taraba State,Yes,No
Chenchenji Primary Health Center,Wukari,Taraba State,Yes,No
Kasimbli Primary Health Center. A  Opposite Center Mo- Ques Kasimbli,Takum,Taraba State,Yes,Yes
Bete Primary Health Care Center,Takum,Taraba State,Yes,Yes
Dutse Primary Health Center,Takum,Taraba State,No,No
High Mammy Primary Health Center.,Takum,Taraba State,Yes,No
Kashimbila Primary Health Center,Takum,Taraba State,Yes,No
Mayo Ndaga Primary Health Center,Sardauna,Taraba State,Yes,Yes
Wapan Nghaku Primary Health Care Center,Wukari,Taraba State,Yes,No
Primary Health Care Centre Sibre,Ardo-kola,Taraba State,No,Yes
Primary Health Care Centre Ardo Kola,Ardo-kola,Taraba State,Yes,Yes
Yorro Manang Boli Sabo Health Center,Yorro,Taraba State,Yes,Yes
Didango Primary Health Care Muri A Ward Karim Lamido Lga,Karim Lamido,Taraba State,Yes,Yes
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,No,No
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes,Yes
Karim Jen Ardido Ward  Kodi Dispensary Primary Health Center,Karim Lamido,Taraba State,No,No
Yorro Lankaviri Waru  Primary Health Center,Yorro,Taraba State,Yes,No
Sabo Gida Primary Health Care Centre,Gassol,Taraba State,Yes,Yes
Lamido Borno primary health care center,Ardo kola,Taraba State,No,No
Barkin dutse primary health care center,Ardo kola,Taraba State,Yes,Yes
Wuro ladde PHCC,Ardo kola,Taraba State,No,Yes
Ali goro PHCC,Ardo kola,Taraba State,No,Yes
Dingding PHCC,Zing,Taraba State,Yes,Yes
Bitako PHCC,Zing,Taraba State,No,No
Tasompo PHCC,Zing,Taraba State,No,Yes
Bantaje PHCC,Wukari,Taraba State,Yes,No
Ndo(Ando) idi PHCC,Wukari,Taraba State,Yes,Yes
Puje(wukari) PHCC,Wukari,Taraba State,Yes,Yes
Pwadzu,Wukari,Taraba State,Yes,No
Hon Imam Primary Healthcare Centre Jalingo ,Jalingo,Taraba State,Yes,No
Old Barade Modern Primary Healthcare Centre,Jalingo,Taraba State,Yes,No
Yarima Primary Healthcare Centre,Gassol ,Taraba State,Yes,No
Mutum-Biyu Primary Healthcare Centre ,Gassol ,Taraba State,Yes,No
Balasa Agure Maternity Health Centre,Gassol ,Taraba State,Yes,No
Kpankufung primary health cente,Takum ,Taraba State,Yes,No
Bali Town Primary Health Care Center,Bali ,Taraba State,No,No
Jenuwa gida primary health center,Takum ,Taraba State,No,No
Kwesati primary health center,USSA ,Taraba State,No,Yes
Gayama Primary Health Care Center,Donga ,Taraba State,Yes,Yes
Nyita primary health care center,Gonga ,Taraba State,Yes,Yes
Kpankufung primary health center,Takum ,Taraba State,No,No
Yirom primary health center,Ussa ,Taraba State,No,No
Lekitaba primary health center,Sardauna ,Taraba State,Yes,Yes
Sahkaka primary health clinic,Sardauna ,Taraba State,No,No
Negrah primary health center,Sardauna ,Taraba State,Yes,No
Mayo-Kam primary health care center,Bali ,Taraba State,Yes,Yes
Budong Primary Health Clinic,Lau ,Taraba State,Yes,Yes
Kunini Primary Health Care Center,Lau ,Taraba State,Yes,Yes
