Name of Primary Health Center,PHC LGA,State of PHC,What is the source of Power?
Usaka-Ukwu Health Center,Usaka,Abia State,Solar
USAKA,USAKA,Abia State,Solar
Obugwu Primary Health Centre,Ugwuegbu,Abia State,None
Ovim primary health care center,ISUIKWUATO,Abia State,Solar
Ovim primary health care center,ISUIKWUATO,Abia State,Solar
Umuekwule  Health Center,Umuahia South,Abia State,Power Holding Company (National grid)
Alaoji    health  post,Umuahia South,Abia State,None
Ahiaba Health Post,Isiala-Ngwa North ,Abia State,Power Holding Company (National grid) Solar
Ibeku West primary health care center ,Umuahia North,Abia State,Power Holding Company (National grid)
Avonkwu Health Center,Umuahia North,Abia State,Solar
Ihie Primary Health Center,Isiala-Ngwa North,Abia State,Power Holding Company (National grid) Generator
Ekeoba Health Center,Umuahia North,Abia State,Power Holding Company (National grid)
Amaise Ovungwu PHC,Isiala-Ngwa South,Abia State,Power Holding Company (National grid) Generator
Oha Amapu PHc,Isiala-Ngwa North,Abia State,Generator Power Holding Company (National grid)
Ntigha PHC,Isiala-Ngwa North,Abia State,Power Holding Company (National grid) Generator
UMUOGELE HEALTH CENTER,UMUNNEOCHI ,Abia State,Generator
MBALA PRIMARY HEALTH CENTER,UMUNNEOCHI ,Abia State,Generator
EZIAMA NNEATO PRIMARY HEALTH CENTER,UMUNNEOCHI ,Abia State,Generator
Elugwu Umuoram Primary Health center,Umuahia South ,Abia State,None
0bilagu lokpanta Health post,Umunneochi ,Abia State,None
Amaorji Health Center,Umunneochi ,Abia State,None
Isiala Okpu health centre,Osisioma Ngwa ,Abia State,Power Holding Company (National grid)
Umuelele Health Post,Osisioma Ngwa ,Abia State,None
Abayi Ariaria Health Center,Osisioma Ngwa ,Abia State,None
Umuagara Primary Health Center,Ugwunagbo ,Abia State,None
Amapu Ideobia Health Center,Ugwunagbo ,Abia State,None
Obehie Primary Health Care,Ukwa West ,Abia State,Solar
Ikpokwu Health center,Ukwa West ,Abia State,None
Umuiku-isi Asa primary Health care,Ukwa West ,Abia State,None
Ezedioma Health Center,Ukwa West ,Abia State,None
Umuaka Primary Health Care,Ukwa West ,Abia State,None
Obokwe Primary Health Center 11,Ukwa West ,Abia State,Power Holding Company (National grid) None
Obohia Health Post,Ukwa East ,Abia State,None
Ohambele Primary Health Center,Ukwa East ,Abia State,None
Obeaku Primary Health Center,Ukwa East ,Abia State,None
Azumini Primary Health Center,Ukwa East ,Abia State,None
Abaki Primary Health Center,Ukwa East ,Abia State,Solar
Ohanku Primary Health Center,Ukwa East ,Abia State,None
Ukebe Primary Health Center,Ukwa East ,Abia State,None
Umumauzo Primary Health Center,Ukwa West ,Abia State,None
Amannagwu Health Center,Arochukwu ,Abia State,None
AMANKALU ALAYI PRIMARY HEALTH CENTER,BENDE ,Abia State,Generator
Ubibia Primary Health Care,BENDE ,Abia State,None
AGBAMUZU HEALTH CENTER,BENDE ,Abia State,None
NGWU PRIMARY HEALTH CENTER,BENDE ,Abia State,Generator
AKOLI PRIMARY HEALTH CENTER,BENDE ,Abia State,Generator
OKPUHU NKPA PRIMARY HEALTH CENTER,BENDE ,Abia State,Generator
Ezeukwu Pimary Health Care,BENDE ,Abia State,Generator
Amaokwe Item Primary Health Care,BENDE ,Abia State,Generator
Umuhu Ezechi Primary Health Care Center,BENDE ,Abia State,Generator None
ABUMA HEALTH CENTER,AROCHUKWU ,Abia State,None
Lomara Primary Health Center,UMUNEOCHI ,Abia State,Generator
Idima Abam Primary Health Center,AROCHUKWU ,Abia State,Generator
Atani Abam Primary Health Center,AROCHUKWU ,Abia State,Generator
NDIAGWU PRIMARY HEALTH CENTER,AROCHUKWU ,Abia State,Generator
AHABA UKWU PRIMARY HEALTH CENTER,IKWUANO ,Abia State,None
UMUYE HEALTH CENTER,AROCHUKWU ,Abia State,None
Asaokpuaja Primary Health Centre,Aba South ,Abia State,Power Holding Company (National grid)
Ugwumango Health Post,Aba North ,Abia State,Power Holding Company (National grid)
Umuola Egbelu Primary Health Centre,Aba North ,Abia State,Power Holding Company (National grid)
