Name of Primary Health Center,PHC LGA,State of PHC,What is the source of Power?
Isuaniocha Phc,Awka North,Anambra state,"Power Holding Company (National grid),"
Urum Health Post,Awka North,Anambra state,"Power Holding Company (National grid),"
Okpuno Primary Health Centre,Awka South,Anambra state,"Power Holding Company (National grid),"
Ezeoye Health Post  Nibo,Awka South,Anambra state,"None,"
Umuawulu Primary Health Centre,Awka South,Anambra state,"Power Holding Company (National grid),"
Ogbakuba Primary Health Centre,Ogbaru,Anambra state,"Power Holding Company (National grid),"
Isiafor Health Post Inside Ascension Anglican Church Onitsha,Onitsha North,Anambra state,"Power Holding Company (National grid),"
Mopol Base Health Post  Awka South.,Awka South,Anambra state,"Power Holding Company (National grid), Solar, Generator,"
Umueze Primary Health Post.,Awka South,Anambra state,"Power Holding Company (National grid),"
Ezinator Health Post.,Awka South,Anambra state,"Power Holding Company (National grid),"
Amansea Health Post  Amaowlle Village  Amansea.,Awka North,Anambra state,"Power Holding Company (National grid),"
Lga Health Clinic  Dunukofia,Dunukofia,Anambra state,"Solar,"
Oko Primary Health Center  Mgbala,Orumba North,Anambra state,"Power Holding Company (National grid),"
Oko Primary Health Center  Mgbala Ifite  Oko,Orumba North,Anambra state,"Power Holding Company (National grid),"
Amaokpala Primary Health Center,Orumba North,Anambra state,"Power Holding Company (National grid), Private Power provider (a power plant privately generating and selling power) Generator,"
Umuagusoibe Health Post,Orumba North,Anambra state,"Power Holding Company (National grid),"
Primary Health Care Center  Enugu Agidi Achalla,Njikoka,Anambra state,"Generator,"
Primary Health Care Centre  Nawfia,Njikoka,Anambra state,"Power Holding Company (National grid), Generator,"
Egbengwu Primary Health Care Center,Njikoka,Anambra state,"Generator, Power Holding Company (National grid),"
Primary Health Care Centre Urunnebo  Enugwu Ukwu,Njikoka,Anambra state,"Power Holding Company (National grid), Generator,"
Isi-Udala Health Post,Ayamelum,Anambra state,"Solar,"
Primary Health Centre  Onitsha,Onitsha North,Anambra state,"Power Holding Company (National grid), Generator,"
Awugu Ii Primary Health Center,Orumba North,Anambra state,"Power Holding Company (National grid), Generator,"
Awgbu Ii Primary Health Center,Orumba North,Anambra state,"Power Holding Company (National grid), Generator,"
Ebgbengwu Phc,Njikoka,Anambra state,"Generator,"
Ajali Maternal And Child Healthcare,Orumba North,Anambra state,"Generator,"
Umuawahia Health Post,Orumba South,Anambra state,"Power Holding Company (National grid),"
Christ Church Primary Health Care Centre  Onitsha,Onitsha North,Anambra state,"Generator, Power Holding Company (National grid),"
St Theresa Primary Health Care Centre 3-3  Onitsha,Onitsha North,Anambra state,"Generator, Power Holding Company (National grid),"
Urunnebo Primary Health Center,Njikoka,Anambra state,"Power Holding Company (National grid), Generator,"
