Name of Primary Health Center,PHC LGA,State of PHC,What is the source of Power?
Achida Primary Health Center,Wurno,Sokoto State,"Solar,"
Gidan Ciwake Phc,Ilella,Sokoto State,"Solar,"
Danboka Health Post,Ilella,Sokoto State,"None,"
Dango Health Post,Ilella,Sokoto State,"None,"
Kalmalo Phc,Ilella,Sokoto State,"Solar,"
Primary Health Centre  Gidan Madi,Tangaza,Sokoto State,"Generator,"
Araba Health Post,Tangaza,Sokoto State,"None,"
Primary Health Center  Kaura,Tangaza,Sokoto State,"None,"
Kalanjeni Health Clinic,Tangaza,Sokoto State,"None,"
Gurdam Health Clinic,Tangaza,Sokoto State,"None,"
Sakkwai Health Clinic,Tangaza,Sokoto State,"None,"
Labsani Health Post,Tangaza,Sokoto State,"None,"
Bararehe Health Post,Tangaza,Sokoto State,"None,"
Kagara Phc Jabo,Tambuwal,Sokoto State,"None,"
Kiliya Primary Health Care,Gada,Sokoto State,"None,"
Illa Primary Health Care,Gada,Sokoto State,"None,"
Dimbiso Health Post,Wurno,Sokoto State,"Solar,"
Dinawa Primary Healthcare,Wurno,Sokoto State,"None,"
Marnona Health Post,Wurno,Sokoto State,"None,"
Kwacehuru Health Post,Tangaza,Sokoto State,"None,"
Kwarakka Health Post,Tangaza,Sokoto State,"None,"
Kwannawa Health Phc,Tangaza,Sokoto State,"None,"
Wurno Government Secondary School Clinic,Wurno,Sokoto State,"None,"
Kwargaba Health Post,Wurno,Sokoto State,"None,"
Lahudo Primary Health Care,Wurno,Sokoto State,"None,"
Kajiji Model Primary Health Centre,Shagari,Sokoto State,"None,"
Gamgam Primary Health Centre,Shagari,Sokoto State,"None,"
Kambama Phc,Shagari,Sokoto State,"Solar,"
Lambara Phc,Shagari,Sokoto State,"None,"
Kwasare Health Post Achida,Wurno,Sokoto State,"Solar,"
Mandera Phc,Shagari,Sokoto State,"None,"
Wanke Primary Health Care,Shagari,Sokoto State,"None,"
Sanyinnawal Primary Health Care,Shagari,Sokoto State,"None,"
Horo Model Primary Health Centre,Shagari,Sokoto State,"None,"
Dandin Mahe Primary Health Centre,Shagari,Sokoto State,"None,"
Jaredi Primary Health Centre,Shagari,Sokoto State,"None,"
