Name of Primary Health Center,PHC LGA,State of PHC_x,Check for any of these building failures./Broken Celling,Check for any of these building failures./Damaged Chairs,Check for any of these building failures./Damaged Door,Which of these Equipment are Available Labor Ward(Delivery Bed)?,Does the PHC have these Areas within the Premises(Functional Pharmacy)?,Does the PHC have these Areas within the Premises(Intensive Care Unit)?,Check for any of these building failures./Damaged/Leaking roofs,Which of these Equipment are Available Labor Ward(Fetal Heart Rate Monitor)?,Which of these Equipment are Available Labor Ward(Neo-Natal Resuscitation Equipment)?,How is Hospital Waste Disposed?,Specify Other Ways of Disposing Waste by the PHC?,Does the health care center have a well-built and Maintained structure ?,Any Dilapidated Hospital Building in the Premises of PHC ?,Does the center have clean and functional restrooms?,Number of Clean and Functional Restrooms?,Total Number of Hospital Beds,State of PHC_y,How many wards in Total do you
Abbare Primary Health Centre,Lau,Taraba State,No,Yes,No,Yes,No,No,No,No,No,Discarded by Waste Managers,,Yes,Yes,No,2.0,8,Taraba State,10
Ali goro PHCC,Ardo kola,Taraba State,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Thrown in a Pit,Burnt and buried,No,Yes,Yes,3.0,10,Taraba State,2
Anguwan Dampar Phcc,Ibi,Taraba State,No,Yes,No,No,No,No,No,Yes,Yes,Sanitary Land Fill,Safety box,No,Yes,No,0.0,6,Taraba State,1
Balasa Agure Maternity Health Centre,Gassol,Taraba State,,,,Yes,,,,No,No,Burnt,,,,No,0.0,,Taraba State,2
Balasa Agure Maternity Health Centre,Gassol ,Taraba State,No,Yes,No,,No,No,No,,,,,Yes,No,,,7,Taraba State,2
Bali Town Primary Health Care Center,Bali,Taraba State,,,,Yes,,,,No,Yes,Thrown in a Pit,,,,Yes,0.0,,Taraba State,3
Bali Town Primary Health Care Center,Bali ,Taraba State,Yes,Yes,Yes,,No,No,Yes,,,,,No,No,,,Greater than 10,Taraba State,3
Bantaje PHCC,Wukari,Taraba State,No,No,No,Yes,Yes,No,Yes,No,Yes,Burnt,,Yes,No,Yes,5.0,Greater than 10,Taraba State,3
Barkin dutse primary health care center,Ardo kola,Taraba State,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Thrown in a Pit,,Yes,Yes,No,0.0,9,Taraba State,3
Bete Primary Health Care Center,Takum,Taraba State,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Discarded by Waste Managers,,Yes,Yes,Yes,4.0,9,Taraba State,2
Bitako PHCC,Zing,Taraba State,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Burnt,,No,No,No,0.0,3,Taraba State,1
Borno-Kuru-Kuru,Bali,Taraba State,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Thrown in a Pit,Burnt,Yes,No,No,0.0,Greater than 10,Taraba State,3
